uf,cidade,qtd_pop
MU,Morro do Chapéu do Piauí (PI),6796
MU,Murici dos Portelas (PI),9159
MU,Nazaré do Piauí (PI),7339
MU,Nazária (PI),8570
MU,Nossa Senhora de Nazaré (PI),4870
MU,Nossa Senhora dos Remédios (PI),8692
MU,Novo Oriente do Piauí (PI),6565
MU,Novo Santo Antônio (PI),2991
MU,Oeiras (PI),37029
MU,Olho D'Água do Piauí (PI),2459
MU,Padre Marcos (PI),6868
MU,Paes Landim (PI),4129
MU,Pajeú do Piauí (PI),3389
MU,Palmeira do Piauí (PI),5043
MU,Palmeirais (PI),14539
MU,Paquetá (PI),3945
MU,Parnaguá (PI),10791
MU,Parnaíba (PI),153078
MU,Passagem Franca do Piauí (PI),4313
MU,Patos do Piauí (PI),6392
MU,Pau D'Arco do Piauí (PI),4045
MU,Paulistana (PI),20523
MU,Pavussu (PI),3677
MU,Pedro II (PI),38742
MU,Pedro Laurentino (PI),2536
MU,Nova Santa Rita (PI),4374
MU,Picos (PI),78222
MU,Pimenteiras (PI),12127
MU,Pio IX (PI),18425
MU,Piracuruca (PI),28791
MU,Piripiri (PI),63742
MU,Porto (PI),12568
MU,Porto Alegre do Piauí (PI),2710
MU,Prata do Piauí (PI),3151
MU,Queimada Nova (PI),8992
MU,Redenção do Gurguéia (PI),8778
MU,Regeneração (PI),17978
MU,Riacho Frio (PI),4312
MU,Ribeira do Piauí (PI),4477
MU,Ribeiro Gonçalves (PI),7341
MU,Rio Grande do Piauí (PI),6432
MU,Santa Cruz do Piauí (PI),6240
MU,Santa Cruz dos Milagres (PI),4019
MU,Santa Filomena (PI),6253
MU,Santa Luz (PI),5860
MU,Santana do Piauí (PI),4634
MU,Santa Rosa do Piauí (PI),5257
MU,Santo Antônio de Lisboa (PI),6415
MU,Santo Antônio dos Milagres (PI),2161
MU,Santo Inácio do Piauí (PI),3798
MU,São Braz do Piauí (PI),4448
MU,São Félix do Piauí (PI),2942
MU,São Francisco de Assis do Piauí (PI),5755
MU,São Francisco do Piauí (PI),6423
MU,São Gonçalo do Gurguéia (PI),3041
MU,São Gonçalo do Piauí (PI),5015
MU,São João da Canabrava (PI),4608
MU,São João da Fronteira (PI),6042
MU,São João da Serra (PI),6139
MU,São João da Varjota (PI),4840
MU,São João do Arraial (PI),7989
MU,São João do Piauí (PI),20601
MU,São José do Divino (PI),5346
MU,São José do Peixe (PI),3745
MU,São José do Piauí (PI),6705
MU,São Julião (PI),6363
MU,São Lourenço do Piauí (PI),4573
MU,São Luis do Piauí (PI),2644
MU,São Miguel da Baixa Grande (PI),2452
MU,São Miguel do Fidalgo (PI),3039
MU,São Miguel do Tapuio (PI),17662
MU,São Pedro do Piauí (PI),14291
MU,São Raimundo Nonato (PI),34710
MU,Sebastião Barros (PI),3469
MU,Sebastião Leal (PI),4294
MU,Sigefredo Pacheco (PI),10041
MU,Simões (PI),14633
MU,Simplício Mendes (PI),12711
MU,Socorro do Piauí (PI),4569
MU,Sussuapara (PI),6730
MU,Tamboril do Piauí (PI),2919
MU,Tanque do Piauí (PI),2765
MU,Teresina (PI),864845
MU,União (PI),44485
MU,Uruçuí (PI),21558
MU,Valença do Piauí (PI),20918
MU,Várzea Branca (PI),4947
MU,Várzea Grande (PI),4391
MU,Vera Mendes (PI),3077
MU,Vila Nova do Piauí (PI),2971
MU,Wall Ferraz (PI),4462
MU,Abaiara (CE),11737
MU,Acarape (CE),14929
MU,Acaraú (CE),62641
MU,Acopiara (CE),54270
MU,Aiuaba (CE),17399
MU,Alcântaras (CE),11714
MU,Altaneira (CE),7586
MU,Alto Santo (CE),17146
MU,Amontada (CE),43452
MU,Antonina do Norte (CE),7353
MU,Apuiarés (CE),14600
MU,Aquiraz (CE),80271
MU,Aracati (CE),74547
MU,Aracoiaba (CE),26469
MU,Ararendá (CE),10935
MU,Araripe (CE),21600
MU,Aratuba (CE),11847
MU,Arneiroz (CE),7840
MU,Assaré (CE),23417
MU,Aurora (CE),24654
MU,Baixio (CE),6288
MU,Banabuiú (CE),18197
MU,Barbalha (CE),60781
MU,Barreira (CE),22425
MU,Barro (CE),22680
MU,Barroquinha (CE),15017
MU,Baturité (CE),35750
MU,Beberibe (CE),53573
MU,Bela Cruz (CE),32591
MU,Boa Viagem (CE),54470
MU,Brejo Santo (CE),49477
MU,Camocim (CE),63661
MU,Campos Sales (CE),27426
MU,Canindé (CE),76997
MU,Capistrano (CE),17738
MU,Caridade (CE),22547
MU,Cariré (CE),18448
MU,Caririaçu (CE),26965
MU,Cariús (CE),18699
MU,Carnaubal (CE),17606
MU,Cascavel (CE),71743
MU,Catarina (CE),20698
MU,Catunda (CE),10342
MU,Caucaia (CE),361400
MU,Cedro (CE),25557
MU,Chaval (CE),13069
MU,Choró (CE),13521
MU,Chorozinho (CE),20264
MU,Coreaú (CE),23136
MU,Crateús (CE),75074
MU,Crato (CE),132123
MU,Croatá (CE),18063
MU,Cruz (CE),24827
MU,Deputado Irapuan Pinheiro (CE),9625
MU,Ererê (CE),7198
MU,Eusébio (CE),53618
MU,Farias Brito (CE),19450
MU,Forquilha (CE),24218
MU,Fortaleza (CE),2669342
MU,Fortim (CE),16480
MU,Frecheirinha (CE),14072
MU,General Sampaio (CE),7618
MU,Graça (CE),14399
MU,Granja (CE),54748
MU,Granjeiro (CE),4844
MU,Groaíras (CE),11068
MU,Guaiúba (CE),26064
MU,Guaraciaba do Norte (CE),40642
MU,Guaramiranga (CE),5193
MU,Hidrolândia (CE),19978
MU,Horizonte (CE),67337
MU,Ibaretama (CE),13353
MU,Ibiapina (CE),24997
MU,Ibicuitinga (CE),12525
MU,Icapuí (CE),19934
MU,Icó (CE),68018
MU,Iguatu (CE),102498
MU,Independência (CE),26178
MU,Ipaporanga (CE),11593
MU,Ipaumirim (CE),12463
MU,Ipu (CE),41964
MU,Ipueiras (CE),38166
MU,Iracema (CE),14297
MU,Irauçuba (CE),24156
MU,Itaiçaba (CE),7827
MU,Itaitinga (CE),37980
MU,Itapajé (CE),52675
MU,Itapipoca (CE),129358
MU,Itapiúna (CE),20382
MU,Itarema (CE),41826
MU,Itatira (CE),21647
MU,Jaguaretama (CE),18162
MU,Jaguaribara (CE),11401
MU,Jaguaribe (CE),34682
MU,Jaguaruana (CE),33705
MU,Jardim (CE),27174
MU,Jati (CE),8111
MU,Jijoca de Jericoacoara (CE),19816
MU,Juazeiro do Norte (CE),274207
MU,Jucás (CE),24833
MU,Lavras da Mangabeira (CE),31508
MU,Limoeiro do Norte (CE),59540
MU,Madalena (CE),19691
MU,Maracanaú (CE),227886
MU,Maranguape (CE),128978
MU,Marco (CE),27361
MU,Martinópole (CE),11233
MU,Massapê (CE),38737
MU,Mauriti (CE),47962
MU,Meruoca (CE),15057
MU,Milagres (CE),27512
MU,Milhã (CE),13155
MU,Miraíma (CE),13818
MU,Missão Velha (CE),35393
MU,Mombaça (CE),43797
MU,Monsenhor Tabosa (CE),17234
MU,Morada Nova (CE),61890
MU,Moraújo (CE),8724
MU,Morrinhos (CE),22534
MU,Mucambo (CE),14537
MU,Mulungu (CE),10823
MU,Nova Olinda (CE),15565
MU,Nova Russas (CE),32328
MU,Novo Oriente (CE),28607
MU,Ocara (CE),25703
MU,Orós (CE),21427
MU,Pacajus (CE),72203
MU,Pacatuba (CE),83432
MU,Pacoti (CE),12261
MU,Pacujá (CE),6533
MU,Palhano (CE),9386
MU,Palmácia (CE),13322
MU,Paracuru (CE),35076
MU,Paraipaba (CE),32744
MU,Parambu (CE),31521
MU,Paramoti (CE),12226
MU,Pedra Branca (CE),43258
MU,Penaforte (CE),9077
MU,Pentecoste (CE),37751
MU,Pereiro (CE),16307
MU,Pindoretama (CE),20567
MU,Piquet Carneiro (CE),16959
MU,Pires Ferreira (CE),10951
MU,Poranga (CE),12336
MU,Porteiras (CE),14996
MU,Potengi (CE),11045
MU,Potiretama (CE),6419
MU,Quiterianópolis (CE),21084
MU,Quixadá (CE),87728
MU,Quixelô (CE),16178
MU,Quixeramobim (CE),81082
MU,Quixeré (CE),22149
MU,Redenção (CE),29053
MU,Reriutaba (CE),18491
MU,Russas (CE),78194
MU,Saboeiro (CE),15819
MU,Salitre (CE),16554
MU,Santana do Acaraú (CE),32452
MU,Santana do Cariri (CE),17700
MU,Santa Quitéria (CE),43703
MU,São Benedito (CE),47903
MU,São Gonçalo do Amarante (CE),48422
MU,São João do Jaguaribe (CE),7645
MU,São Luís do Curu (CE),13000
MU,Senador Pompeu (CE),25496
MU,Senador Sá (CE),7623
MU,Sobral (CE),208935
MU,Solonópole (CE),18324
MU,Tabuleiro do Norte (CE),30697
MU,Tamboril (CE),26251
MU,Tarrafas (CE),8592
MU,Tauá (CE),58859
MU,Tejuçuoca (CE),19187
MU,Tianguá (CE),75946
MU,Trairi (CE),55918
MU,Tururu (CE),16271
MU,Ubajara (CE),34792
MU,Umari (CE),7733
MU,Umirim (CE),19825
MU,Uruburetama (CE),21850
MU,Uruoca (CE),13840
MU,Varjota (CE),18420
MU,Várzea Alegre (CE),40721
MU,Viçosa do Ceará (CE),60889
MU,Acari (RN),11136
MU,Açu (RN),58017
MU,Afonso Bezerra (RN),11035
MU,Água Nova (RN),3252
MU,Alexandria (RN),13577
MU,Almino Afonso (RN),4735
MU,Alto do Rodrigues (RN),14529
MU,Angicos (RN),11714
MU,Antônio Martins (RN),7145
MU,Apodi (RN),35845
MU,Areia Branca (RN),27774
MU,Arês (RN),14306
MU,Augusto Severo (RN),9655
MU,Baía Formosa (RN),9271
MU,Baraúna (RN),28374
MU,Barcelona (RN),3998
MU,Bento Fernandes (RN),5497
MU,Bodó (RN),2223
MU,Bom Jesus (RN),10210
MU,Brejinho (RN),12699
MU,Caiçara do Norte (RN),6549
MU,Caiçara do Rio do Vento (RN),3684
MU,Caicó (RN),67952
MU,Campo Redondo (RN),11217
MU,Canguaretama (RN),34276
MU,Caraúbas (RN),20493
MU,Carnaúba dos Dantas (RN),8180
MU,Carnaubais (RN),10759
MU,Ceará-Mirim (RN),73497
MU,Cerro Corá (RN),11179
MU,Coronel Ezequiel (RN),5506
MU,Coronel João Pessoa (RN),4912
MU,Cruzeta (RN),7998
MU,Currais Novos (RN),44786
MU,Doutor Severiano (RN),7076
MU,Parnamirim (RN),261469
MU,Encanto (RN),5638
MU,Equador (RN),6045
MU,Espírito Santo (RN),10505
MU,Extremoz (RN),28583
MU,Felipe Guerra (RN),5985
MU,Fernando Pedroza (RN),3054
MU,Florânia (RN),9116
MU,Francisco Dantas (RN),2824
MU,Frutuoso Gomes (RN),4068
MU,Galinhos (RN),2786
MU,Goianinha (RN),26328
MU,Governador Dix-Sept Rosado (RN),13037
MU,Grossos (RN),10383
MU,Guamaré (RN),15659
MU,Ielmo Marinho (RN),13766
MU,Ipanguaçu (RN),15491
MU,Ipueira (RN),2241
MU,Itajá (RN),7548
MU,Itaú (RN),5878
MU,Jaçanã (RN),9133
MU,Jandaíra (RN),6878
MU,Janduís (RN),5268
MU,Januário Cicco (RN),10181
MU,Japi (RN),5055
MU,Jardim de Angicos (RN),2612
MU,Jardim de Piranhas (RN),14837
MU,Jardim do Seridó (RN),12396
MU,João Câmara (RN),34955
MU,João Dias (RN),2654
MU,José da Penha (RN),5951
MU,Jucurutu (RN),18295
MU,Jundiá (RN),3898
MU,Lagoa d'Anta (RN),6769
MU,Lagoa de Pedras (RN),7544
MU,Lagoa de Velhos (RN),2732
MU,Lagoa Nova (RN),15614
MU,Lagoa Salgada (RN),8245
MU,Lajes (RN),11277
MU,Lajes Pintadas (RN),4759
MU,Lucrécia (RN),3996
MU,Luís Gomes (RN),10116
MU,Macaíba (RN),80792
MU,Macau (RN),31814
MU,Major Sales (RN),4020
MU,Marcelino Vieira (RN),8347
MU,Martins (RN),8725
MU,Maxaranguape (RN),12371
MU,Messias Targino (RN),4601
MU,Montanhas (RN),11251
MU,Monte Alegre (RN),22451
MU,Monte das Gameleiras (RN),2105
MU,Mossoró (RN),297378
MU,Natal (RN),884122
MU,Nísia Floresta (RN),27602
MU,Nova Cruz (RN),37343
MU,Olho d'Água do Borges (RN),4258
MU,Ouro Branco (RN),4812
MU,Paraná (RN),4254
MU,Paraú (RN),3768
MU,Parazinho (RN),5237
MU,Parelhas (RN),21477
MU,Rio do Fogo (RN),10848
MU,Passa e Fica (RN),13277
MU,Passagem (RN),3089
MU,Patu (RN),12755
MU,Santa Maria (RN),5551
MU,Pau dos Ferros (RN),30394
MU,Pedra Grande (RN),3237
MU,Pedra Preta (RN),2458
MU,Pedro Avelino (RN),6716
MU,Pedro Velho (RN),14806
MU,Pendências (RN),15129
MU,Pilões (RN),3838
MU,Poço Branco (RN),15413
MU,Portalegre (RN),7867
MU,Porto do Mangue (RN),6437
MU,Serra Caiada (RN),10395
MU,Pureza (RN),9621
MU,Rafael Fernandes (RN),5098
MU,Rafael Godeiro (RN),3201
MU,Riacho da Cruz (RN),3579
MU,Riacho de Santana (RN),4204
MU,Riachuelo (RN),8128
MU,Rodolfo Fernandes (RN),4467
MU,Tibau (RN),4106
MU,Ruy Barbosa (RN),3600
MU,Santa Cruz (RN),39674
MU,Santana do Matos (RN),12791
MU,Santana do Seridó (RN),2680
MU,Santo Antônio (RN),24136
MU,São Bento do Norte (RN),2747
MU,São Bento do Trairí (RN),4449
MU,São Fernando (RN),3584
MU,São Francisco do Oeste (RN),4228
MU,São Gonçalo do Amarante (RN),102400
MU,São João do Sabugi (RN),6193
MU,São José de Mipibu (RN),43899
MU,São José do Campestre (RN),12856
MU,São José do Seridó (RN),4634
MU,São Miguel (RN),23519
MU,São Miguel do Gostoso (RN),10282
MU,São Paulo do Potengi (RN),17579
MU,São Pedro (RN),5971
MU,São Rafael (RN),8202
MU,São Tomé (RN),11055
MU,São Vicente (RN),6424
MU,Senador Elói de Souza (RN),6086
MU,Senador Georgino Avelino (RN),4440
MU,Serra de São Bento (RN),5762
MU,Serra do Mel (RN),11938
MU,Serra Negra do Norte (RN),8078
MU,Serrinha (RN),6229
MU,Serrinha dos Pintos (RN),4800
MU,Severiano Melo (RN),2440
MU,Sítio Novo (RN),5522
MU,Taboleiro Grande (RN),2566
MU,Taipu (RN),12279
MU,Tangará (RN),15727
MU,Tenente Ananias (RN),10786
MU,Tenente Laurentino Cruz (RN),5952
MU,Tibau do Sul (RN),14180
MU,Timbaúba dos Batistas (RN),2414
MU,Touros (RN),33287
MU,Triunfo Potiguar (RN),3237
MU,Umarizal (RN),10555
MU,Upanema (RN),14659
MU,Várzea (RN),5500
MU,Venha-Ver (RN),4177
MU,Vera Cruz (RN),12481
MU,Viçosa (RN),1718
MU,Vila Flor (RN),3170
MU,Água Branca (PB),10234
MU,Aguiar (PB),5640
MU,Alagoa Grande (PB),28496
MU,Alagoa Nova (PB),20849
MU,Alagoinha (PB),14489
MU,Alcantil (PB),5492
MU,Algodão de Jandaíra (PB),2567
MU,Alhandra (PB),19588
MU,São João do Rio do Peixe (PB),18034
MU,Amparo (PB),2238
MU,Aparecida (PB),8347
MU,Araçagi (PB),16987
MU,Arara (PB),13470
MU,Araruna (PB),20312
MU,Areia (PB),22819
MU,Areia de Baraúnas (PB),2128
MU,Areial (PB),6998
MU,Aroeiras (PB),19153
MU,Assunção (PB),3990
MU,Baía da Traição (PB),8993
MU,Bananeiras (PB),21318
MU,Baraúna (PB),4892
MU,Barra de Santana (PB),8359
MU,Barra de Santa Rosa (PB),15384
MU,Barra de São Miguel (PB),6036
MU,Bayeux (PB),96880
MU,Belém (PB),17676
MU,Belém do Brejo do Cruz (PB),7342
MU,Bernardino Batista (PB),3501
MU,Boa Ventura (PB),5366
MU,Boa Vista (PB),7051
MU,Bom Jesus (PB),2561
MU,Bom Sucesso (PB),4975
MU,Bonito de Santa Fé (PB),11917
MU,Boqueirão (PB),17804
MU,Igaracy (PB),6117
MU,Borborema (PB),5263
MU,Brejo do Cruz (PB),14122
MU,Brejo dos Santos (PB),6449
MU,Caaporã (PB),21828
MU,Cabaceiras (PB),5611
MU,Cabedelo (PB),67736
MU,Cachoeira dos Índios (PB),10244
MU,Cacimba de Areia (PB),3682
MU,Cacimba de Dentro (PB),17187
MU,Cacimbas (PB),7173
MU,Caiçara (PB),7201
MU,Cajazeiras (PB),61993
MU,Cajazeirinhas (PB),3193
MU,Caldas Brandão (PB),6014
MU,Camalaú (PB),6013
MU,Campina Grande (PB),409731
MU,Capim (PB),6523
MU,Caraúbas (PB),4162
MU,Carrapateira (PB),2659
MU,Casserengue (PB),7468
MU,Catingueira (PB),4932
MU,Catolé do Rocha (PB),30546
MU,Caturité (PB),4852
MU,Conceição (PB),18982
MU,Condado (PB),6654
MU,Conde (PB),24670
MU,Congo (PB),4786
MU,Coremas (PB),15445
MU,Coxixola (PB),1921
MU,Cruz do Espírito Santo (PB),17319
MU,Cubati (PB),7797
MU,Cuité (PB),20338
MU,Cuitegi (PB),6803
MU,Cuité de Mamanguape (PB),6353
MU,Curral de Cima (PB),5227
MU,Curral Velho (PB),2516
MU,Damião (PB),5330
MU,Desterro (PB),8297
MU,Vista Serrana (PB),3798
MU,Diamante (PB),6552
MU,Dona Inês (PB),10453
MU,Duas Estradas (PB),3596
MU,Emas (PB),3522
MU,Esperança (PB),33007
MU,Fagundes (PB),11253
MU,Frei Martinho (PB),2989
MU,Gado Bravo (PB),8316
MU,Guarabira (PB),58833
MU,Gurinhém (PB),14129
MU,Gurjão (PB),3428
MU,Ibiara (PB),5929
MU,Imaculada (PB),11819
MU,Ingá (PB),18103
MU,Itabaiana (PB),24477
MU,Itaporanga (PB),24692
MU,Itapororoca (PB),18664
MU,Itatuba (PB),10962
MU,Jacaraú (PB),14431
MU,Jericó (PB),7739
MU,João Pessoa (PB),809015
MU,Juarez Távora (PB),7936
MU,Juazeirinho (PB),18171
MU,Junco do Seridó (PB),7150
MU,Juripiranga (PB),10756
MU,Juru (PB),9867
MU,Lagoa (PB),4666
MU,Lagoa de Dentro (PB),7719
MU,Lagoa Seca (PB),27503
MU,Lastro (PB),2737
MU,Livramento (PB),7256
MU,Logradouro (PB),4332
MU,Lucena (PB),13080
MU,Mãe d'Água (PB),4009
MU,Malta (PB),5759
MU,Mamanguape (PB),44882
MU,Manaíra (PB),10955
MU,Marcação (PB),8558
MU,Mari (PB),21837
MU,Marizópolis (PB),6617
MU,Massaranduba (PB),13918
MU,Mataraca (PB),8434
MU,Matinhas (PB),4500
MU,Mato Grosso (PB),2908
MU,Maturéia (PB),6569
MU,Mogeiro (PB),13284
MU,Montadas (PB),5669
MU,Monte Horebe (PB),4816
MU,Monteiro (PB),33222
MU,Mulungu (PB),9902
MU,Natuba (PB),10454
MU,Nazarezinho (PB),7301
MU,Nova Floresta (PB),10638
MU,Nova Olinda (PB),5949
MU,Nova Palmeira (PB),4906
MU,Olho d'Água (PB),6526
MU,Olivedos (PB),3932
MU,Ouro Velho (PB),3039
MU,Parari (PB),1771
MU,Passagem (PB),2419
MU,Patos (PB),107605
MU,Paulista (PB),12347
MU,Pedra Branca (PB),3801
MU,Pedra Lavrada (PB),7843
MU,Pedras de Fogo (PB),28458
MU,Piancó (PB),16075
MU,Picuí (PB),18703
MU,Pilar (PB),11917
MU,Pilões (PB),6635
MU,Pilõezinhos (PB),4976
MU,Pirpirituba (PB),10579
MU,Pitimbu (PB),19065
MU,Pocinhos (PB),18564
MU,Poço Dantas (PB),3888
MU,Poço de José de Moura (PB),4307
MU,Pombal (PB),32801
MU,Prata (PB),4209
MU,Princesa Isabel (PB),23345
MU,Puxinanã (PB),13680
MU,Queimadas (PB),43967
MU,Quixaba (PB),1956
MU,Remígio (PB),19621
MU,Pedro Régis (PB),6089
MU,Riachão (PB),3588
MU,Riachão do Bacamarte (PB),4521
MU,Riachão do Poço (PB),4509
MU,Riacho de Santo Antônio (PB),1948
MU,Riacho dos Cavalos (PB),8526
MU,Rio Tinto (PB),24176
MU,Salgadinho (PB),3885
MU,Salgado de São Félix (PB),12140
MU,Santa Cecília (PB),6558
MU,Santa Cruz (PB),6583
MU,Santa Helena (PB),5889
MU,Santa Inês (PB),3595
MU,Santa Luzia (PB),15382
MU,Santana de Mangueira (PB),5162
MU,Santana dos Garrotes (PB),7031
MU,Joca Claudino (PB),2636
MU,Santa Rita (PB),136586
MU,Santa Teresinha (PB),4573
MU,Santo André (PB),2521
MU,São Bento (PB),34031
MU,São Bentinho (PB),4529
MU,São Domingos do Cariri (PB),2615
MU,São Domingos (PB),3073
MU,São Francisco (PB),3392
MU,São João do Cariri (PB),4199
MU,São João do Tigre (PB),4422
MU,São José da Lagoa Tapada (PB),7630
MU,São José de Caiana (PB),6359
MU,São José de Espinharas (PB),4682
MU,São José dos Ramos (PB),5957
MU,São José de Piranhas (PB),20251
MU,São José de Princesa (PB),4003
MU,São José do Bonfim (PB),3557
MU,São José do Brejo do Cruz (PB),1801
MU,São José do Sabugi (PB),4141
MU,São José dos Cordeiros (PB),3628
MU,São Mamede (PB),7724
MU,São Miguel de Taipu (PB),7368
MU,São Sebastião de Lagoa de Roça (PB),11661
MU,São Sebastião do Umbuzeiro (PB),3489
MU,Sapé (PB),52625
MU,São Vicente do Seridó (PB),10775
MU,Serra Branca (PB),13699
MU,Serra da Raiz (PB),3148
MU,Serra Grande (PB),2909
MU,Serra Redonda (PB),7041
MU,Serraria (PB),6099
MU,Sertãozinho (PB),5024
MU,Sobrado (PB),7783
MU,Solânea (PB),26407
MU,Soledade (PB),14989
MU,Sossêgo (PB),3555
MU,Sousa (PB),69444
MU,Sumé (PB),16966
MU,Tacima (PB),10911
MU,Taperoá (PB),15376
MU,Tavares (PB),14726
MU,Teixeira (PB),15161
MU,Tenório (PB),3058
MU,Triunfo (PB),9455
MU,Uiraúna (PB),15242
MU,Umbuzeiro (PB),9907
MU,Várzea (PB),2810
MU,Vieirópolis (PB),5348
MU,Zabelê (PB),2240
MU,Abreu e Lima (PE),99990
MU,Afogados da Ingazeira (PE),37259
MU,Afrânio (PE),19635
MU,Agrestina (PE),24885
MU,Água Preta (PE),36771
MU,Águas Belas (PE),43443
MU,Alagoinha (PE),14636
MU,Aliança (PE),38386
MU,Altinho (PE),22972
MU,Amaraji (PE),22829
MU,Angelim (PE),11150
MU,Araçoiaba (PE),20524
MU,Araripina (PE),84418
MU,Arcoverde (PE),74338
MU,Barra de Guabiraba (PE),14385
MU,Barreiros (PE),42659
MU,Belém de Maria (PE),12073
MU,Belém do São Francisco (PE),20729
MU,Belo Jardim (PE),76439
MU,Betânia (PE),12719
MU,Bezerros (PE),60798
MU,Bodocó (PE),38146
MU,Bom Conselho (PE),48554
MU,Bom Jardim (PE),39184
MU,Bonito (PE),38134
MU,Brejão (PE),8993
MU,Brejinho (PE),7487
MU,Brejo da Madre de Deus (PE),50742
MU,Buenos Aires (PE),13155
MU,Buíque (PE),58378
MU,Cabo de Santo Agostinho (PE),207048
MU,Cabrobó (PE),34221
MU,Cachoeirinha (PE),20380
MU,Caetés (PE),28739
MU,Calçado (PE),11053
MU,Calumbi (PE),5750
MU,Camaragibe (PE),157828
MU,Camocim de São Félix (PE),18765
MU,Camutanga (PE),8551
MU,Canhotinho (PE),24804
MU,Capoeiras (PE),20048
MU,Carnaíba (PE),19551
MU,Carnaubeira da Penha (PE),12932
MU,Carpina (PE),83641
MU,Caruaru (PE),361118
MU,Casinhas (PE),14341
MU,Catende (PE),42892
MU,Cedro (PE),11807
MU,Chã de Alegria (PE),13518
MU,Chã Grande (PE),21698
MU,Condado (PE),26421
MU,Correntes (PE),18207
MU,Cortês (PE),12578
MU,Cumaru (PE),10906
MU,Cupira (PE),24107
MU,Custódia (PE),37111
MU,Dormentes (PE),18908
MU,Escada (PE),68875
MU,Exu (PE),31825
MU,Feira Nova (PE),22131
MU,Fernando de Noronha (PE),3061
MU,Ferreiros (PE),12123
MU,Flores (PE),22624
MU,Floresta (PE),32873
MU,Frei Miguelinho (PE),15457
MU,Gameleira (PE),31052
MU,Garanhuns (PE),139788
MU,Glória do Goitá (PE),30604
MU,Goiana (PE),79758
MU,Granito (PE),7486
MU,Gravatá (PE),84074
MU,Iati (PE),19197
MU,Ibimirim (PE),29235
MU,Ibirajuba (PE),7762
MU,Igarassu (PE),117019
MU,Iguaracy (PE),12228
MU,Inajá (PE),23247
MU,Ingazeira (PE),4548
MU,Ipojuca (PE),96204
MU,Ipubi (PE),30854
MU,Itacuruba (PE),4918
MU,Itaíba (PE),26349
MU,Ilha de Itamaracá (PE),26258
MU,Itambé (PE),36447
MU,Itapetim (PE),13616
MU,Itapissuma (PE),26651
MU,Itaquitinga (PE),16955
MU,Jaboatão dos Guararapes (PE),702298
MU,Jaqueira (PE),11656
MU,Jataúba (PE),17150
MU,Jatobá (PE),14796
MU,João Alfredo (PE),33822
MU,Joaquim Nabuco (PE),16023
MU,Jucati (PE),11424
MU,Jupi (PE),14836
MU,Jurema (PE),15378
MU,Lagoa do Carro (PE),18071
MU,Lagoa de Itaenga (PE),21429
MU,Lagoa do Ouro (PE),13145
MU,Lagoa dos Gatos (PE),16290
MU,Lagoa Grande (PE),25601
MU,Lajedo (PE),40288
MU,Limoeiro (PE),56250
MU,Macaparana (PE),25376
MU,Machados (PE),16088
MU,Manari (PE),21434
MU,Maraial (PE),11345
MU,Mirandiba (PE),15390
MU,Moreno (PE),62784
MU,Nazaré da Mata (PE),32471
MU,Olinda (PE),392482
MU,Orobó (PE),23884
MU,Orocó (PE),14991
MU,Ouricuri (PE),69459
MU,Palmares (PE),63250
MU,Palmeirina (PE),7693
MU,Panelas (PE),26474
MU,Paranatama (PE),11523
MU,Parnamirim (PE),22010
MU,Passira (PE),28933
MU,Paudalho (PE),56506
MU,Paulista (PE),331774
MU,Pedra (PE),22617
MU,Pesqueira (PE),67395
MU,Petrolândia (PE),36548
MU,Petrolina (PE),349145
MU,Poção (PE),11302
MU,Pombos (PE),27091
MU,Primavera (PE),14966
MU,Quipapá (PE),26037
MU,Quixaba (PE),6813
MU,Recife (PE),1645727
MU,Riacho das Almas (PE),20546
MU,Ribeirão (PE),47415
MU,Rio Formoso (PE),23535
MU,Sairé (PE),9932
MU,Salgadinho (PE),10919
MU,Salgueiro (PE),60930
MU,Saloá (PE),15843
MU,Sanharó (PE),26462
MU,Santa Cruz (PE),15398
MU,Santa Cruz da Baixa Verde (PE),12592
MU,Santa Cruz do Capibaribe (PE),107937
MU,Santa Filomena (PE),14477
MU,Santa Maria da Boa Vista (PE),41931
MU,Santa Maria do Cambucá (PE),14137
MU,Santa Terezinha (PE),11815
MU,São Benedito do Sul (PE),15895
MU,São Bento do Una (PE),59504
MU,São Caitano (PE),37245
MU,São João (PE),22793
MU,São Joaquim do Monte (PE),21356
MU,São José da Coroa Grande (PE),21298
MU,São José do Belmonte (PE),33959
MU,São José do Egito (PE),33951
MU,São Lourenço da Mata (PE),113230
MU,São Vicente Férrer (PE),18018
MU,Serra Talhada (PE),86350
MU,Serrita (PE),19165
MU,Sertânia (PE),35907
MU,Sirinhaém (PE),45865
MU,Moreilândia (PE),11270
MU,Solidão (PE),6007
MU,Surubim (PE),65089
MU,Tabira (PE),28534
MU,Tacaimbó (PE),12874
MU,Tacaratu (PE),25765
MU,Tamandaré (PE),23388
MU,Taquaritinga do Norte (PE),28775
MU,Terezinha (PE),7169
MU,Terra Nova (PE),10096
MU,Timbaúba (PE),53022
MU,Toritama (PE),45219
MU,Tracunhaém (PE),13769
MU,Trindade (PE),30521
MU,Triunfo (PE),15254
MU,Tupanatinga (PE),27304
MU,Tuparetama (PE),8202
MU,Venturosa (PE),18482
MU,Verdejante (PE),9534
MU,Vertente do Lério (PE),7618
MU,Vertentes (PE),20731
MU,Vicência (PE),32643
MU,Vitória de Santo Antão (PE),138757
MU,Xexéu (PE),14725
MU,Água Branca (AL),20196
MU,Anadia (AL),17545
