uf,cidade,qtd_pop
MU,Concórdia do Pará (PA),33318
MU,Cumaru do Norte (PA),13473
MU,Curionópolis (PA),17929
MU,Curralinho (PA),34448
MU,Curuá (PA),14393
MU,Curuçá (PA),40066
MU,Dom Eliseu (PA),59719
MU,Eldorado do Carajás (PA),33808
MU,Faro (PA),7194
MU,Floresta do Araguaia (PA),20304
MU,Garrafão do Norte (PA),26066
MU,Goianésia do Pará (PA),40475
MU,Gurupá (PA),33376
MU,Igarapé-Açu (PA),38807
MU,Igarapé-Miri (PA),62698
MU,Inhangapi (PA),11711
MU,Ipixuna do Pará (PA),64053
MU,Irituia (PA),32550
MU,Itaituba (PA),101247
MU,Itupiranga (PA),53269
MU,Jacareacanga (PA),8239
MU,Jacundá (PA),59155
MU,Juruti (PA),57943
MU,Limoeiro do Ajuru (PA),28935
MU,Mãe do Rio (PA),30077
MU,Magalhães Barata (PA),8548
MU,Marabá (PA),279349
MU,Maracanã (PA),29473
MU,Marapanim (PA),28336
MU,Marituba (PA),131521
MU,Medicilândia (PA),31597
MU,Melgaço (PA),27654
MU,Mocajuba (PA),31136
MU,Moju (PA),82094
MU,Mojuí dos Campos (PA),16084
MU,Monte Alegre (PA),58032
MU,Muaná (PA),40349
MU,Nova Esperança do Piriá (PA),21368
MU,Nova Ipixuna (PA),16678
MU,Nova Timboteua (PA),15363
MU,Novo Progresso (PA),25762
MU,Novo Repartimento (PA),75919
MU,Óbidos (PA),52137
MU,Oeiras do Pará (PA),32512
MU,Oriximiná (PA),73096
MU,Ourém (PA),17842
MU,Ourilândia do Norte (PA),32832
MU,Pacajá (PA),47706
MU,Palestina do Pará (PA),7589
MU,Paragominas (PA),113145
MU,Parauapebas (PA),208273
MU,Pau D'Arco (PA),5483
MU,Peixe-Boi (PA),8077
MU,Piçarra (PA),12981
MU,Placas (PA),30982
MU,Ponta de Pedras (PA),31082
MU,Portel (PA),62043
MU,Porto de Moz (PA),41135
MU,Prainha (PA),29866
MU,Primavera (PA),10825
MU,Quatipuru (PA),13608
MU,Redenção (PA),84787
MU,Rio Maria (PA),18193
MU,Rondon do Pará (PA),52357
MU,Rurópolis (PA),50510
MU,Salinópolis (PA),40675
MU,Salvaterra (PA),23752
MU,Santa Bárbara do Pará (PA),21079
MU,Santa Cruz do Arari (PA),10128
MU,Santa Izabel do Pará (PA),70801
MU,Santa Luzia do Pará (PA),19848
MU,Santa Maria das Barreiras (PA),21449
MU,Santa Maria do Pará (PA),24861
MU,Santana do Araguaia (PA),72817
MU,Santarém (PA),304589
MU,Santarém Novo (PA),6709
MU,Santo Antônio do Tauá (PA),31482
MU,São Caetano de Odivelas (PA),18050
MU,São Domingos do Araguaia (PA),25557
MU,São Domingos do Capim (PA),31989
MU,São Félix do Xingu (PA),128481
MU,São Francisco do Pará (PA),15882
MU,São Geraldo do Araguaia (PA),24847
MU,São João da Ponta (PA),6139
MU,São João de Pirabas (PA),23045
MU,São João do Araguaia (PA),13996
MU,São Miguel do Guamá (PA),58986
MU,São Sebastião da Boa Vista (PA),26640
MU,Sapucaia (PA),5930
MU,Senador José Porfírio (PA),11658
MU,Soure (PA),25374
MU,Tailândia (PA),106339
MU,Terra Alta (PA),11720
MU,Terra Santa (PA),18769
MU,Tomé-Açu (PA),63447
MU,Tracuateua (PA),30959
MU,Trairão (PA),18989
MU,Tucumã (PA),39602
MU,Tucuruí (PA),113659
MU,Ulianópolis (PA),59210
MU,Uruará (PA),45476
MU,Vigia (PA),53686
MU,Viseu (PA),61403
MU,Vitória do Xingu (PA),15134
MU,Xinguara (PA),44751
MU,Serra do Navio (AP),5397
MU,Amapá (AP),9109
MU,Pedra Branca do Amapari (AP),16502
MU,Calçoene (AP),11117
MU,Cutias (AP),5983
MU,Ferreira Gomes (AP),7780
MU,Itaubal (AP),5503
MU,Laranjal do Jari (AP),50410
MU,Macapá (AP),503327
MU,Mazagão (AP),21632
MU,Oiapoque (AP),27270
MU,Porto Grande (AP),21971
MU,Pracuúba (AP),5120
MU,Santana (AP),121364
MU,Tartarugalzinho (AP),17315
MU,Vitória do Jari (AP),15931
MU,Abreulândia (TO),2579
MU,Aguiarnópolis (TO),6733
MU,Aliança do Tocantins (TO),5390
MU,Almas (TO),7055
MU,Alvorada (TO),8412
MU,Ananás (TO),9549
MU,Angico (TO),3433
MU,Aparecida do Rio Negro (TO),4795
MU,Aragominas (TO),5758
MU,Araguacema (TO),7086
MU,Araguaçu (TO),8517
MU,Araguaína (TO),180470
MU,Araguanã (TO),5729
MU,Araguatins (TO),35761
MU,Arapoema (TO),6643
MU,Arraias (TO),10567
MU,Augustinópolis (TO),18412
MU,Aurora do Tocantins (TO),3757
MU,Axixá do Tocantins (TO),9756
MU,Babaçulândia (TO),10664
MU,Bandeirantes do Tocantins (TO),3553
MU,Barra do Ouro (TO),4591
MU,Barrolândia (TO),5632
MU,Bernardo Sayão (TO),4459
MU,Bom Jesus do Tocantins (TO),4894
MU,Brasilândia do Tocantins (TO),2201
MU,Brejinho de Nazaré (TO),5497
MU,Buriti do Tocantins (TO),11348
MU,Cachoeirinha (TO),2275
MU,Campos Lindos (TO),10116
MU,Cariri do Tocantins (TO),4382
MU,Carmolândia (TO),2580
MU,Carrasco Bonito (TO),4095
MU,Caseara (TO),5369
MU,Centenário (TO),2905
MU,Chapada de Areia (TO),1406
MU,Chapada da Natividade (TO),3333
MU,Colinas do Tocantins (TO),35424
MU,Combinado (TO),4852
MU,Conceição do Tocantins (TO),4105
MU,Couto Magalhães (TO),5588
MU,Cristalândia (TO),7289
MU,Crixás do Tocantins (TO),1722
MU,Darcinópolis (TO),6097
MU,Dianópolis (TO),22139
MU,Divinópolis do Tocantins (TO),6900
MU,Dois Irmãos do Tocantins (TO),7198
MU,Dueré (TO),4686
MU,Esperantina (TO),10996
MU,Fátima (TO),3835
MU,Figueirópolis (TO),5263
MU,Filadélfia (TO),8856
MU,Formoso do Araguaia (TO),18440
MU,Fortaleza do Tabocão (TO),2589
MU,Goianorte (TO),5123
MU,Goiatins (TO),13019
MU,Guaraí (TO),25923
MU,Gurupi (TO),86647
MU,Ipueiras (TO),2015
MU,Itacajá (TO),7433
MU,Itaguatins (TO),5864
MU,Itapiratins (TO),3777
MU,Itaporã do Tocantins (TO),2427
MU,Jaú do Tocantins (TO),3849
MU,Juarina (TO),2193
MU,Lagoa da Confusão (TO),13357
MU,Lagoa do Tocantins (TO),4316
MU,Lajeado (TO),3134
MU,Lavandeira (TO),1923
MU,Lizarda (TO),3740
MU,Luzinópolis (TO),3108
MU,Marianópolis do Tocantins (TO),5175
MU,Mateiros (TO),2684
MU,Maurilândia do Tocantins (TO),3426
MU,Miracema do Tocantins (TO),18248
MU,Miranorte (TO),13434
MU,Monte do Carmo (TO),7947
MU,Monte Santo do Tocantins (TO),2279
MU,Palmeiras do Tocantins (TO),6658
MU,Muricilândia (TO),3551
MU,Natividade (TO),9244
MU,Nazaré (TO),3898
MU,Nova Olinda (TO),11819
MU,Nova Rosalândia (TO),4260
MU,Novo Acordo (TO),4342
MU,Novo Alegre (TO),2332
MU,Novo Jardim (TO),2722
MU,Oliveira de Fátima (TO),1112
MU,Palmeirante (TO),6026
MU,Palmeirópolis (TO),7659
MU,Paraíso do Tocantins (TO),51252
MU,Paranã (TO),10449
MU,Pau D'Arco (TO),4849
